x,Img+Prioception (Cartesian Increment)_mean,Img+Prioception (Cartesian Increment)_stderr,Img+Prioception (Velocity Increment)_mean,Img+Prioception (Velocity Increment)_stderr,Img+Prioception (Position Increment)_mean,Img+Prioception (Position Increment)_stderr,Img+Prioception (Torque Increment)_mean,Img+Prioception (Torque Increment)_stderr
1022803.3388981636,0.8542178974445399,0.039946532154950476,0.0,0.0,0.001964774619788031,0.0019647746197880307,0.09253791818172208,0.009668977497873774
1106330.283806344,0.8975808716352645,0.029332428454964286,0.0,0.0,0.001278704171866821,0.001278704171866821,0.0843756774344638,0.006481333612058578
1189857.2287145243,0.9267058704621616,0.019483891549611616,0.0,0.0,0.0008324078043484323,0.0008324078043484323,0.07384127751671082,0.003281886907418363
1273384.1736227046,0.9462769443764788,0.01355411156105775,0.0,0.0,0.0005421196093432605,0.0005421196093432605,0.0610470656847866,0.002190056515837038
1356911.1185308849,0.9597522644272422,0.00819542092993878,0.0,0.0,0.00041147580281720807,0.0004114758028172081,0.05706052020628009,0.0042296789015231285
1440438.0634390651,0.9695627401038749,0.006087425842320195,0.0,0.0,0.0028400250281962343,0.0021376498120868983,0.05682156523944473,0.007207752309216027
1523965.0083472454,0.9782268931620323,0.004516359692723823,0.0,0.0,0.02246009344383912,0.01270810525337134,0.050190819668492224,0.008544061906373815
1607491.9532554257,0.9833777555718647,0.002866742166849408,0.0,0.0,0.09557711289034175,0.05453164030283015,0.04752140287769666,0.012210073567726909
1691018.898163606,0.9829222533219495,0.0015310029541531574,0.0,0.0,0.22042425142244326,0.11058586362252229,0.04560023004349247,0.015785965865975055
1774545.8430717865,0.9840502982249452,0.0006964361105030123,0.0,0.0,0.3193568556622166,0.1597310985730372,0.04183700976419142,0.016761591601096304
1858072.7879799667,0.9870374974033439,0.001391791836893587,0.0,0.0,0.40397641038580384,0.20229507428252702,0.038275321898199016,0.018965198640772455
1941599.732888147,0.9868236117157192,0.0019253384326477767,0.0,0.0,0.4707579061704239,0.23588501340647244,0.03589872728323693,0.017204721453276423
2025126.6777963273,0.9890714015117835,0.001125499532401633,0.0,0.0,0.52195886522704,0.2614181524386328,0.031762910716143254,0.013782711667260222
2108653.622704508,0.9890686347234631,0.0024717865412245813,0.0,0.0,0.5604852033702641,0.27954130865838084,0.04055891928740355,0.02196174570436796
2192180.567612688,0.9891052063913149,0.0015813145032842818,0.0,0.0,0.5905554732896605,0.2943489239083726,0.03649192525612717,0.018923155005739867
2275707.5125208683,0.9898993415786489,0.0016429542647780366,0.0,0.0,0.608858267647672,0.30381742736100775,0.03267999513870725,0.013298756631270359
2359234.4574290486,0.9893487549822542,0.0021459344069332865,0.0,0.0,0.6226574654666103,0.31092224014508363,0.029240932051830277,0.012585469649804823
2442761.402337229,0.9882533354188228,0.0017643346084616062,0.0,0.0,0.6315714238148922,0.31553598023760265,0.029572819403955727,0.013461400337441415
2526288.347245409,0.9892629214270109,0.0011811672089784152,0.0,0.0,0.638479135908713,0.3190778177945059,0.02621707062815214,0.010503396798386284
2609815.2921535894,0.9886519560777484,0.0008871980229591232,0.0,0.0,0.6445097059857545,0.32214000735818826,0.024839570679691992,0.005597702445995367
2693342.2370617697,0.9893924516534583,0.0013573421418400372,0.0,0.0,0.6465704055575702,0.3230361709329897,0.023021079663676364,0.005686595890442858
2776869.18196995,0.9903990857151411,0.00024308539024158542,0.0,0.0,0.6517998621467549,0.3206108719922952,0.02092992630947037,0.0056151632602787745
2860396.1268781302,0.9896422248967195,0.0002468238039918761,0.0,0.0,0.6743176369473124,0.29850355076115864,0.023733756029822237,0.006430203207484604
2943923.0717863105,0.9910291318232068,0.0007667652637117732,0.0,0.0,0.7217544500978642,0.2559178284562454,0.02463594142513184,0.006265242375652814
